# graze_gui baked area ephemeris table (DE421, ICRF equatorial J2000, km, km/s)
# columns: JD_TT  moon_x moon_y moon_z  sun_x sun_y sun_z  earthvel_x earthvel_y earthvel_z
# generated by gen_area_ephemeris.py -- see file header for data provenance
# range: 2025-01-01 to 2030-06-01 UTC, step 60.0 min
47449
2461839.834134074 -291971.530591924 195744.934790030 70818.327512942 145751643.698845923 -26274664.326435380 -11390600.833099540 -6.217223704 -26.903517127 -11.660941774
2461839.875800741 -294162.279841252 192871.827348966 69223.588401584 145774001.407478184 -26177774.147991054 -11348605.603624260 -6.196087986 -26.907265726 -11.662572280
2461839.917467407 -296319.994359819 189976.820066592 67620.995988650 145796283.021230280 -26080870.498666655 -11306604.514450425 -6.174950629 -26.911001120 -11.664197205
2461839.959134074 -298444.409302090 187060.229546599 66010.728196205 145818488.534392178 -25983953.424853854 -11264597.585193390 -6.153811604 -26.914723329 -11.665816547
2461840.000800741 -300535.264134422 184122.375798175 64392.964236300 145840617.941240072 -25887022.972906306 -11222584.835454278 -6.132670850 -26.918432374 -11.667430321
2461840.042467407 -302592.302628789 181163.582282578 62767.884634269 145862671.235296607 -25790079.192390759 -11180566.286229236 -6.111528516 -26.922128260 -11.669038529
2461840.084134074 -304615.273064090 178184.175661844 61135.671088367 145884648.410814911 -25693122.129587959 -11138541.957092620 -6.090384454 -26.925810989 -11.670641167
2461840.125800741 -306603.928214349 175184.485840716 59496.506491266 145906549.462031394 -25596151.830742527 -11096511.867605696 -6.069238812 -26.929480575 -11.672238240
2461840.167467407 -308558.025342636 172164.846011476 57850.574952479 145928374.382435232 -25499168.345315445 -11054476.038726456 -6.048091382 -26.933137037 -11.673829757
2461840.209134074 -310477.326392142 169125.592394812 56198.061655049 145950123.166235536 -25402171.719482373 -11012434.489991723 -6.026942343 -26.936780371 -11.675415717
2461840.250800741 -312361.597974282 166067.064280225 54539.152876316 145971795.807623178 -25305161.999384843 -10970387.240926370 -6.005791575 -26.940410592 -11.676996129
2461840.292467407 -314210.611362554 162989.604069211 52874.036009531 145993392.300046861 -25208139.234384138 -10928334.312453790 -5.984639138 -26.944027711 -11.678570984
2461840.334134074 -316024.142672921 159893.557008676 51202.899417838 146014912.637665987 -25111103.470557030 -10886275.724076828 -5.963485062 -26.947631732 -11.680140302
2461840.375800741 -317801.972851566 156779.271229931 49525.932454372 146036356.814619482 -25014054.753948309 -10844211.495287623 -5.942329228 -26.951222662 -11.681704070
2461840.417467407 -319543.887668463 153647.097790330 47843.325483151 146057724.824309945 -24916993.133826029 -10802141.646978660 -5.921171755 -26.954800509 -11.683262296
2461840.459134074 -321249.677886611 150497.390399662 46155.269730587 146079016.660841167 -24819918.656174634 -10760066.198622534 -5.900012523 -26.958365299 -11.684814986
2461840.500800741 -322919.139249240 147330.505457859 44461.957305001 146100232.318294555 -24722831.366948895 -10717985.169682452 -5.878851622 -26.961917017 -11.686362140
2461840.542467407 -324552.072472783 144146.802095269 42763.581216904 146121371.790021181 -24625731.315330442 -10675898.581023782 -5.857688934 -26.965455700 -11.687903758
2461840.584134074 -326148.283404657 140946.641892500 41060.335228294 146142435.070063770 -24528618.547218319 -10633806.452092774 -5.836524576 -26.968981311 -11.689439850
2461840.625800741 -327707.583009704 137730.388916964 39352.413871676 146163422.152441204 -24431493.108484335 -10591708.802327575 -5.815358430 -26.972493898 -11.690970412
2461840.667467407 -329229.787362422 134498.409761881 37640.012469780 146184333.030447811 -24334355.048230797 -10549605.652570410 -5.794190615 -26.975993436 -11.692495445
2461840.709134074 -330714.717792747 131251.073260047 35923.326982933 146205167.698060572 -24237204.412278678 -10507497.022245144 -5.773021013 -26.979479969 -11.694014953
2461840.750800741 -332162.200871539 127988.750519477 34202.554027717 146225926.149231076 -24140041.246424124 -10465382.930768913 -5.751849681 -26.982953459 -11.695528938
2461840.792467407 -333572.068401990 124711.814961324 32477.890896232 146246608.377192587 -24042865.599697623 -10423263.398964830 -5.730676591 -26.986413956 -11.697037404
2461840.834134074 -334944.157553125 121420.642028093 30749.535401814 146267214.375851899 -23945677.517849546 -10381138.446238458 -5.709501743 -26.989861432 -11.698540343
2461840.875800741 -336278.310844190 118115.609218529 29017.685897425 146287744.139088899 -23848477.046608072 -10339008.091990041 -5.688325197 -26.993295923 -11.700037766
2461840.917467407 -337574.376134972 114797.096124665 27282.541294581 146308197.660072058 -23751264.234939534 -10296872.357027702 -5.667146772 -26.996717397 -11.701529674
2461840.959134074 -338832.206746757 111465.484135024 25544.300907706 146328574.932634056 -23654039.128531586 -10254731.260742899 -5.645966589 -27.000125904 -11.703016063
2461841.000800741 -340051.661445461 108121.156468970 23803.164472372 146348875.950579792 -23556801.773052260 -10212584.822523128 -5.624784678 -27.003521413 -11.704496937
2461841.042467407 -341232.604430768 104764.498213085 22059.332164000 146369100.707008928 -23459552.217411723 -10170433.063165763 -5.603600949 -27.006903954 -11.705972297
2461841.084134074 -342374.905444259 101395.896019939 20313.004441163 146389249.195677221 -23362290.507242851 -10128276.002052344 -5.582415342 -27.010273498 -11.707442140
2461841.125800741 -343478.439751222 98015.738142115 18564.382063776 146409321.410311133 -23265016.688161742 -10086113.658561900 -5.561228007 -27.013630092 -11.708906470
2461841.167467407 -344543.088128472 94624.414468154 16813.666111708 146429317.343939066 -23167730.809030455 -10043946.053485272 -5.540038854 -27.016973708 -11.710365286
2461841.209134074 -345568.736959475 91222.316217460 15061.057827315 146449236.990236729 -23070432.915435392 -10001773.206198381 -5.518847823 -27.020304363 -11.711818594
2461841.250800741 -346555.278214738 87809.835974245 13306.758633723 146469080.342849910 -22973123.052948855 -9959595.136076035 -5.497654974 -27.023622066 -11.713266384
2461841.292467407 -347502.609438264 84387.367723275 11550.970153457 146488847.394733191 -22875801.270393208 -9917411.863906844 -5.476460367 -27.026926808 -11.714708665
2461841.334134074 -348410.633829495 80955.306541505 9793.894050520 146508538.139480352 -22778467.613316670 -9875223.409065364 -5.455263823 -27.030218590 -11.716145432
2461841.375800741 -349279.260222244 77514.048632189 8035.732048882 146528152.570654422 -22681122.127256230 -9833029.790926524 -5.434065521 -27.033497438 -11.717576686
2461841.417467407 -350108.403069749 74063.991360665 6276.685951254 146547690.681134671 -22583764.861002896 -9790831.030280938 -5.412865251 -27.036763322 -11.719002428
2461841.459134074 -350897.982513314 70605.532943331 4516.957481018 146567152.464430988 -22486395.860075220 -9748627.146506144 -5.391663194 -27.040016271 -11.720422655
2461841.500800741 -351647.924359781 67139.072482159 2756.748301040 146586537.914022774 -22389015.169983335 -9706418.158981416 -5.370459199 -27.043256283 -11.721837368
